No,Student ID,Full name,Name,Gender,DoB,Social ID
1,20127026,Nguyen Thi Tuyet Nhung,Nhung,Female,6/4/2002,277697373
2,20127027,Le Minh Huy,Huy,Male,5/5/2002,234674543
3,20127028,Nguyen Van Toan,Toan,Male,7/6/2002,247763457
4,20127029,Nguyen Minh Tam,Tam,Male,19/7/2002,263743467
5,20127030,Le Dang Khoa,Khoa,Male,28/9/2002,273757875
6,20127040,Huynh Minh Phat,Phat,Male,28/11/2002,275757647
7,20127041,Nguyen Thi Truc Vy,Vy,Female,28/5/2002,276437435
8,20127042,Nguyen Duc Trung,Trung,Male,28/1/2002,294547374
9,20127043,Pham Hoang Anh,Anh,Male,18/4/2002,264543343
10,20127044,Vu Khoi Nguyen,Nguyen,Male,1/12/2002,243474543
11,20127045,Nguyen Nhat Tin,Tin,Male,4/12/2002,294345487
12,20127046,Le Huu Phuoc,Phuoc,Male,9/2/2002,223767845
13,20127047,Pham Quang Binh,Binh,Male,26/7/2002,215757653
14,20127048,Le Nhat Vu,Vu,Male,29/7/2002,216737376
15,20127049,Nguyen Vu Dang Quang,Quang,Male,5/9/2002,224775541
